educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,"Alexandria, Egypt",Egypt,Male,"Datacamp, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Starting to learn,,Japan (Remote),"25,001 to 35,000",Internship,online,Operations,"Management, Business Analyst, Software Engineer, Developer, Process Improvement, Innovation and Transformation",2 to 3,Tableau Prep,Power BI,"Big Query, None",Dolphin Scheduler,"Power BI, Excel PowerQuery",N.A,N.A,N.A,"Microsoft Azure, Sharepoint",MS SQL Server,"Zoom, Google Meet, Discord",,Datalab,,Both desktop and laptop,"Yes, I am aware of the free resources in the DEP website.",,"Data Analytics Philippines, Data Science Philippines, DataScience.PH, Datasense Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Lead a study group, Mentor, Co-training/ Training, teachng softskills such such attention to details","As of the moment, my biggest concern in the group chat back reading..maybe if there is an announcement we can pin them..para mas madali pong makita..and reduce sidechats po..most of them po kasi walang laman..Ñ???",My network  - people I know,"Foreign Employer, Direct Hire",20 to 24
College degree,"Mandaluyong, Philippines",Philippines,Male,"Datacamp, HackerRank, LinkedIn Learning, O'Reilly Online Learning, Pluralsight, Bayan academy/ Uplimit/Omdena class / udemy for business / skillsoft/analystbuilder/shelovesdata",Construction Engineering,Professional,Work city different from residence,Makati,"15,000 and below",Full-time,Hybrid,Developer,"Data Analyst, Software Engineer, ",1 - Just me,,,,,"Power BI, None",,,,,,"Google sheets, Excel, Google Drive, Asana, Trello, Zoom, Google Meet, Slack, Discord","Appscript (Google), DAX (Power BI), M language (Power Query), SQL, VBA","Chatgpt, Gemini, Perplexity",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Project SPARTA, PyData Philippines, R User Group - Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Lead a study group, Co-training/ Training, Volunteer for group initiatives",,Indeed,Multinational employer,
College degree,"Baguio City, Philippines",Philippines,Female,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,WFH,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,HR Technical Recruiter,Database Operations,1 - Just me,,,,,,,,,,,"Google sheets, Excel, MS Teams","DAX (Power BI), Javascript, Python, SQL","Gemini, Perplexity",PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, Data Analytics Philippines, Python Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Lead a study group, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events","Organize post by adding tags for Job post, learnings, etc.","LinkedIn, OnlineJobs.ph",Multinational employer,25 to 29
College degree,Borongan City,Philippines,Male,"Datacamp, Freecodecamp, W3Schools","IT, BPO, and Business Services",Professional,Work city different from residence,Remote Work but occasional RTO to HQ in Pasig City,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,Quality Control Analyst,30+,,Pandas,,,"Looker, Power BI",,,,,PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet","Python, R, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",,,LinkedIn,Multinational employer,25 to 29
College degree,Bohol,Philippines,Female,"Cisco, Coursera, Datacamp, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Monday.com, Trello, Zoom, MS Teams, Google Meet",SQL,"Chatgpt, Copilot, Gemini",,laptop,"No, I just found out now.",,"Data Science Manila, Data Science Philippines, Datasense Philippines, FTW Foundation, Power BI Philippines UG, PyData Philippines",Career advancement,"Answer surveys, Volunteer for group initiatives",,,Local employer,20 to 24
Secondary school student,"Paranaque, Philippines",Philippines,Female,"Coursera, Udemy, W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Trello, Discord",,"Copilot, Gemini",,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors",,,,20 to 24
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, Freecodecamp, LeetCode, Udemy, W3Schools, Youtube bootcamp, sqlzoo.net","IT, BPO, and Business Services",Career shifter,Work city different from residence,Taguig,"25,001 to 35,000",Full-time,100% onsite,Workforce Analyst,"Data Engineer, Data Analyst, Data Scientist, Software Engineer",6 to 10,,Pandas,,,Microsoft Office ,,,,Amazon Web Services (AWS),SAP HANA,"Google sheets, Google Drive",Python,"No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Artificial Intelligence Philippines, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), Python Philippines, R User Group - Philippines",Upskill / Skill acquisition,"Answer surveys, Mentor, Co-training/ Training",,My network  - people I know,Local employer,25 to 29
College degree,"Naga City, Camarines Sur",Philippines,Male,"Coursera, Datacamp, Freecodecamp, Udemy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Career shifter,Work city different from residence,"Calapan City, Oriental Mindoro","25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Previously in management. Currently in content production.,Developer,4 to 5,Don't know,Don't know,Azure SQL,Don't know,Power BI,,"Don't know, None","Don't know, None","None, not applicable","Don't know, None","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams","Python, R, SQL","No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Lead a study group, Volunteer for group initiatives","Organize post by adding tags for Job post, learnings, etc.",LinkedIn,Multinational employer,25 to 29
College degree,"Tarlac City, Tarlac",Philippines,Male,"Cisco, Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,Iligan City,"25,001 to 35,000",Full-time,100% onsite,Management,"Management, Data Engineer, Business Analyst, Cloud Architect, Machine Learning Engineer, AI Engineer, Product Advocate, Developer, HR Technical Recruiter",1 - Just me,,,,,,,,,,,"Google sheets, Excel, Slack","DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Claude",PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Data Science Philippines Discussion Group (Moderated),"Continued learning, Decision to shift","Answer surveys, Mentor, Co-training/ Training",,"Indeed, Jobstreet",Local employer,20 to 24
College degree,"Laguna, Philippines",Philippines,Female,"Coursera, Datacamp, Freecodecamp, Google Analytics, IBM Skills Gateway, LinkedIn Learning, Udemy",Not working,Student/ New grad/ Career Break,,,,,,,,,,,AWS Redshift,Airflow,,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake",,"Google Drive, MS Teams, Discord",Python,Chatgpt,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",DEVCON Philippines,"Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,,,20 to 24
College degree,"Dasmarinas, Philippines",Philippines,Male,"Coursera, MicrosoftLearn",Manufacturing,Career shifter,Work city same as residence,Quezon City,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Developer, Academic",1 - Just me,,"Pandas, dbt, Spark",,,,,,,,,"Google sheets, Excel, Google Drive, Google Meet","Python, SQL","Chatgpt, Copilot",Databricks Collaborative Notebooks,desktop,"No, I just found out now.","No, I just browsed through.",Manila Tableau User Group,Network,Answer surveys,,"LinkedIn, Jobstreet",Multinational employer,25 to 29
Secondary school student,"San Jose del Monte, Philippines",Philippines,Male,Not currently using any digital tools for learning,Banking / Finance / Insurance,Career shifter,Work city different from residence,Taguig,"25,001 to 35,000",Full-time,100% onsite,Management,"Data Analyst, Business Analyst",1 - Just me,,Mulesoft,,,Power BI,,,,,,"Excel, OneDrive, MS Teams, Slack, Jira","Python, SQL","Chatgpt, Gemini",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines, Power Apps Pilipinas Community, Power BI Philippines UG",Upskill / Skill acquisition,Answer surveys,,"LinkedIn, Indeed",Local employer,20 to 24
College degree,"Cavite, Philippines",Philippines,Male,"Datacamp, Kaggle Online course, LinkedIn Learning, Real Python, Udemy, W3Schools",Own Business/ Consultancy/Freelance,Career shifter,Work city same as residence,Mabalacat City,"25,001 to 35,000",Freelance,Mostly work from home/ fully remote,Management,"Data Scientist, Business Analyst",1 - Just me,,,,,Looker,,,,,,"Google sheets, Excel, Google Drive, Google Meet","Javascript, Python, SQL","Chatgpt, Copilot",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",None so far,"LinkedIn, Upwork",Not Applicable,30 to 34
College degree,"Tarlac, Philippines",Philippines,Female,"Datacamp, Udemy, W3Schools",Own Business/ Consultancy/Freelance,Career shifter,Work city different from residence,Mandaluyong ,"25,001 to 35,000",Full-time,100% onsite,Network,Odoo Developer,4 to 5,,,Snowflake,,,,,,"Google Cloud Platform (GCP), Microsoft Azure, Snowflake",,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Slack, Discord","Python, SQL","Chatgpt, Copilot",,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,Upskill / Skill acquisition,"Answer surveys, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training",,My network  - people I know,Local employer,25 to 29
College degree,"Angeles City, Pampanga",Qatar,Male,Datacamp,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), SQL, VBA",Chatgpt,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines",Upskill / Skill acquisition,"Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training",,,,40 to 44
College degree,United Kingdom,United Kingdom,LGBTQ+,"Datacamp, LinkedIn Learning, Udemy, W3Schools",Utility,"I don't know what to pick, currently employed as software engineer specifically in Android Platform because I have study Data under SPARTA Project they ask me to do the recommendation system",Work city different from residence,Makati,"35,001 to 45,000",Full-time,,Reporting,"Data Engineer, Data Analyst, Data Scientist, Business Analyst",2 to 3,Azure Data Factory,"Pandas, dbt, Spark",Postgre,Excel,Looker Studio,"None, Not applicable ","Monte Carlo Data, Datafold","None, Not applicable",Amazon Web Services (AWS),"MongoDB, PostgreSQL, Oracle Database","Google sheets, Excel, Google Drive, MS Teams, Discord","PowerApps, PowerAutomate, Excel","No, I do not use AI currently","Colab Notebooks, Hex Workspaces",Remote Servers,"No, I just found out now.","No, I just browsed through.",,"Continued learning, Upskill / Skill acquisition, Network, Build confidence in Public Speaking","Answer surveys, Mentor",,"LinkedIn, Indeed, Upwork, My network  - people I know",Self-employed ,35 to 39
College degree,"Bacolod City, Philippines",Philippines,Male,"Datacamp, edX, Udemy, W3Schools, Zoomcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet, Discord",DAX (Power BI),"Copilot, Gemini",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics for Pinoys, Artificial Intelligence Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Science Manila","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",,,,20 to 24
College degree,Singapore,Singapore,Female,"Datacamp, Google Cloudskills Boost, Youtube bootcamp",Advertising,I am still new almost 3 months studying Data Science,,Manila City,"15,001 to 25,000",Contract fixed timeline,Not Working ,Business Analyst,Logistics,2 to 3,"Airbyte, Stitch","Pandas, Spark, ",,,Tableau,,,,,,"Google sheets, Excel, Dropbox, Google Drive, Zoom, Google Meet, Discord",,"Chatgpt, Claude, Copilot, Gemini, Perplexity, Amazon Q",PythonAnywhere Jupyter Notebook,workstation,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Data and Analytics Manila, Data Science Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Mentor, Volunteer for group initiatives",No.,"LinkedIn, Indeed, Glassdoor, Upwork, Fiverr, OnlineJobs.ph",International Client,30 to 34
College degree,"Manila, Philippines",Philippines,Male,"AWS Cloud Certification, Datacamp, HackerRank","IT, BPO, and Business Services",Professional,Work city different from residence,Pasay,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Customer Service & Technical Support,Data Engineer,4 to 5,,,,,,,,,Amazon Web Services (AWS),PostgreSQL,"Excel, Google Meet","DAX (Power BI), SQL","Chatgpt, Claude",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives, Volunteer to speak in events",,LinkedIn,Multinational employer,30 to 34
College degree,"calaca city, batangas, philippines",Philippines,Male,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), Python, SQL","Gemini, Datalab","Colab Notebooks, Databricks Collaborative Notebooks",workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Co-training/ Training",,,,20 to 24
College degree,Batangas,Philippines,LGBTQ+,"Coursera, LinkedIn Learning, Udemy",Education,Professional,Work city same as residence,Ligao City,"15,001 to 25,000",Full-time,100% onsite,Data Analyst,"AI Engineer, Developer",11 to 30,Don't know,"Pandas, Spark","Big Query, Google Datamart",Don't know,Quicksight,Don't know,"Monte Carlo Data, Datafold",Don't know,Microsoft Azure,Excel,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Slack",Python,"Chatgpt, Claude, Copilot, Gemini",Kaggle Notebooks,laptop,"No, I just found out now.","Yes, I have used at least one resource.","AI Design Philippines, AI Pilipinas, Data Science Philippines","Career advancement, Upskill / Skill acquisition","Answer surveys, Coordinate during events",,My network  - people I know,Self-employed ,25 to 29
Master's degree,Marikina,Philippines,Male,Freecodecamp,"IT, BPO, and Business Services",Professional,Work city same as residence,Work from home,"125,001 to 250, 000",Full-time,Mostly work from home/ fully remote,ESL tutor,"Data Engineer, Data Analyst, Software Engineer, Analytics Engineer, Cloud Architect, Machine Learning Engineer, Developer",11 to 30,,,DynamoDB,,Apache Superset,,,,"Microsoft Azure, I believe our corp utilizes this, but for my role alone, I don't use it as much (to my knowledge)",,"Google sheets, Google Drive, Google Meet, Slack","DAX (Power BI), M language (Power Query), Python, SQL, VBA",Chatgpt,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Data Science Manila, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",Cadence Meeting,"LinkedIn, Monster",Multinational employer,30 to 34
College degree,United Kingdom,United Kingdom,Male,"Coursera, Datacamp, Freecodecamp, Udemy","IT, BPO, and Business Services",Beginner,,Santa Maria Bulacan,"65,001 to 75,000",Full-time,No work as of now,Web Developer,"Management, Data Engineer, Business Analyst",6 to 10,"Excel, PowerBI",Google Sheets,"Snowflake, Mostly in on-prem MSSQL",Just airbyte,"Power BI, in-house R tools",Census,dbt,N.A,"Microsoft Azure, I believe our corp utilizes this, but for my role alone, I don't use it as much (to my knowledge)","Oracle Database, mostly company-specific","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), SQL","No, I do not use AI currently",Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines","Continued learning, Upskill / Skill acquisition, Network, Build confidence in Public Speaking","Answer surveys, Regularly post content","A number of contents every week. For instance, 3 posts in a span of a week. Simple topics like top 3 most question asked during Data analytics interview. Basic SQL-answered content. :)","LinkedIn, Indeed, Glassdoor, OnlineJobs.ph",International Employer,35 to 39
College degree,"Manila, Philippines",Philippines,LGBTQ+,"Cisco, Datacamp, Freecodecamp, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,Airflow,,,,,,,"Google sheets, Excel, Google Drive, Google Meet, Discord",Python,"Chatgpt, Copilot",No,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Artificial Intelligence Philippines, AWS AI/ML, Community: SPARTA PH, Data Analytics Philippines, FTW Foundation","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Joint initiative with other groups, Co-training/ Training",none..,,,20 to 24
College degree,"Pangasinan, Philippines",Philippines,Male,Coursera,"IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Slack, Discord",Python,"Chatgpt, Gemini",Azure Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",,,Local employer,20 to 24
College degree,"Pasig, Philippines",Philippines,Female,"LinkedIn Learning, Udemy, W3Schools",Banking / Finance / Insurance,Career shifter,Work city different from residence,Taguig,"25,001 to 35,000",Full-time,Hybrid,Software Engineer,Software Engineer,1 - Just me,Don't know,ORACLE SQL,Azure SQL,Don't know,Looker,Don't know,"Don't know, None",Don't know,"Google Cloud Platform (GCP), Databricks",,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL",Chatgpt,Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Datasense Philippines, Power BI Philippines UG, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Mentor, Regularly post content, Resource for specific topic, Co-training/ Training",Create communication channels,LinkedIn,Local employer,20 to 24
Master's degree,Malabon city,Philippines,Male,"Cisco, Codecademy, Datacamp, Freecodecamp, MicrosoftLearn, W3Schools",Own Business/ Consultancy/Freelance,Career shifter,Work city different from residence,"Missouri, USA","250,001 and above",Other - specify,Mostly work from home/ fully remote,Management,"Data Engineer, Data Analyst, UI/UX Designer",1 - Just me,,,,,,,,,Don't know,,"Excel, Zoom, MS Teams, Google Meet, Discord, Libre Office Calc",,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Connect with sponsors, Mentor",,"LinkedIn, My network  - people I know",Multinational employer,35 to 39
College degree,"Pangasinan, Philippines",Philippines,Female,"Datacamp, W3Schools",Banking / Finance / Insurance,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","DAX (Power BI), M language (Power Query), R, VBA","No, I do not use AI currently",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",DEVCON Community Group,Continued learning,Answer surveys,Regular knowledge check and ways to improve the newly learned skill each week otherwise add some more.,,Multinational employer,25 to 29
College degree,"Naga City, Camarines Sur PH",Philippines,Male,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Cagayan de Oro ,"25,001 to 35,000",Full-time,100% onsite,Providing support to end users,Data Analyst,4 to 5,SSIS,Pandas,,"Don't know, None","Power BI, SQL Server Reporting Services",,,,Google Cloud Platform (GCP),PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Monday.com, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord",Python,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,My network  - people I know,Local employer,20 to 24
College degree,Tacloban City,Philippines,Male,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City - Near SM North EDSA,"100,001 to 125,000",Contract fixed timeline,Mostly work from home/ fully remote,Data Analyst,"Data Engineer, Data Analyst, Data Scientist, Business Analyst, Analytics Engineer, AI Engineer",6 to 10,,,,,,,,,,,"Google sheets, Excel, Google Drive, Google Meet, Discord","DAX (Power BI), Python","Chatgpt, Copilot, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,,Answer surveys,Assessment Test for Datacamp scholarship,OnlineJobs.ph,Multinational employer,25 to 29
College degree,Bacoor City,Philippines,Male,"Not currently using any digital tools for learning, Udemy","IT, BPO, and Business Services",Career shifter,Work city different from residence,"Shaw blvd, pasig city","125,001 to 250, 000",Full-time,Hybrid,Data Engineer,"Data Engineer, Cloud Architect, Developer",1 - Just me,CDFTP and batch programming,Pandas,,,"Tableau, Alteryx",,,,Amazon Web Services (AWS),,"Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Discord","Javascript, Python, R, SQL","Chatgpt, Copilot, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Data Analytics Philippines,,"Answer surveys, Joint initiative with other groups, Co-training/ Training",,"LinkedIn, Indeed",Multinational employer,25 to 29
College degree,"Dapitan City, Philippines",Philippines,Male,Udemy,"IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,RDBS MySQL/MsSQL,,,,,,Amazon Web Services (AWS),,"Excel, Zoom, MS Teams, Slack, Discord","Python, SQL","Chatgpt, Copilot",Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition",,None so far.,,Local employer,25 to 29
College degree,"Taguig, Philippines",Philippines,Male,"Coursera, Datacamp, Udemy",Banking / Finance / Insurance,Career shifter,Work city different from residence,Taguig City,"55,001 to 65,000",Full-time,Mostly work from home/ fully remote,Analytics Engineer,Data Analyst,4 to 5,,,,,Power BI,,,,,,"Google sheets, Google Drive, MS Teams, Discord","Appscript (Google), DAX (Power BI), Javascript, M language (Power Query), Python, R, SQL","Chatgpt, Copilot, Perplexity",Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Science Philippines Discussion Group (Moderated),"Decision to shift, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",Not yet because all i need in the group there's a lot of resources,LinkedIn,Local employer,25 to 29
College degree,Singapore,Singapore,Male,Coursera,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,"None, ",,,,,,,"Google sheets, Excel, Google Drive, MS Teams, Discord","DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Copilot","Kaggle Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,help me to upskill my knowledge and land a job,,,20 to 24
College degree,"Malay, Aklan Philippines",Philippines,Male,"Datacamp, Freecodecamp, LinkedIn Learning, MicrosoftLearn, Myonlinetraininghub, Power Up Program, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Asana, Zoom, Google Meet, Discord",,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Science Manila, Data Science Philippines Discussion Group (Moderated)","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Connect with sponsors, Coordinate during events",NAN,,Local employer,35 to 39
College degree,"Pampanga, Philippines",Philippines,Male,"Datacamp, Udemy",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Google Meet, Notion",,"Chatgpt, Copilot, Gemini",Colab Notebooks,desktop,"No, I just found out now.",,,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives","Everyday posting, asking some community questions everyday or everyweek",,,20 to 24
Secondary school student,"Clark, Philippines",Philippines,Male,"Datacamp, LinkedIn Learning",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Discord",SQL,"Chatgpt, Claude",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",,Not yet so far,,Local employer,20 to 24
Master's degree,"Caloocan, Philippines",Philippines,Male,"LinkedIn Learning, W3Schools, Youtube bootcamp",Manufacturing,Career shifter,Work city different from residence,Valenzuela City,"55,001 to 65,000",Full-time,Hybrid,Software Engineer,"Business Analyst, Developer",2 to 3,Don't know,Don't know,Big Query,Don't know,"Power BI, DOMO & Sigma",Don't know,Don't know,Don't know,Google Cloud Platform (GCP),Don't know,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet",VBA,"Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,desktop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Network",Willing to do all mentioned as long as I am knowledgeable enough,More invites,LinkedIn,Local employer,45 to 49
College degree,"Manama, Bahrain",Bahrain,Male,"edX, Freecodecamp, HackerRank, LeetCode","IT, BPO, and Business Services",Still learning,Work city different from residence,Metro manila,"75,001 to 85,000",Contract fixed timeline,online,Application Support,Reports,30+,Tools developed internally,Don't know,Databricks,Azure Databricks,,,,Zeenea,"Amazon Web Services (AWS), Databricks",Pulsar Platform,"Google sheets, Excel, MS Teams","DAX (Power BI), Stata",Chatgpt,Kaggle Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Project SPARTA, Python Philippines",Career advancement,Answer surveys,,"LinkedIn, Indeed, Upwork, My network  - people I know","local employer, au client",25 to 29
