Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
Other - specify,"Quezon City, Philippines",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City,"45,001 to 55, 000",Full-time,100% onsite,Developer,Logistics,11 to 30,na,N/A,"Don't know, None",NA,"Don't know, None","Don't know, None","Don't know, None","Don't know, None",NONE,"Don't know, None","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Monday.com, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","JASP, JAMOVI",Chatgpt, ,laptop,"No, I just found out now.","No, I just browsed through.",_,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Mentor, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",More F2F bonding,LinkedIn,Local employer,33
College degree,"Quezon City, Philippines",Philippines,Male,"AWS Cloud Certification, Cisco, Coursera, LinkedIn Learning, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break, ,_,,N/A,N/A,NA, ,None,_,na,Don't know,Don't know,Google Sheets,Don't know,Don't know,Don't know,IBM Cloud,SAP HANA,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord, Notion","DAX (Power BI), M language (Power Query), Python, SQL, VBA","Chatgpt, Julius",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","[Manila] BIG DATA Tech Group, APAC Azure Data Communities, AWS AI/ML, Data Science Manila, Data Science Philippines, Power Apps Pilipinas Community",Career advancement,"Answer surveys, Connect with sponsors, Joint initiative with other groups",na,na,Multinational employer,22
College degree,"Dasma, Philippines",Philippines,Female,"Codecademy, Datacamp, edX, Freecodecamp, Git Hub Learning Lab, Google Cloudskills Boost, Google Developers, LinkedIn Learning, MicrosoftLearn, Real Python, W3Schools",Banking / Finance / Insurance,Career shifter,Work city different from residence,Taguig City,"15,001 to 25,000",Full-time,"Hybrid - Priority at Home, but would come to site if needed",Reports Developer/Data Generalist,Process control,4 to 5,NA,Power Query,., ,Power BI,NONE,N/A,  , ,MongoDB,"Excel, OneDrive, MS Teams, Slack","DAX (Power BI), M language (Power Query), SQL, VBA","No, I do not use AI currently, Gemini",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, FTW Foundation","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Mentor,na,I'm still working for the same company since 2022 which I applied through a social media post/ad.,Multinational employer,28
College degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools",Telecommunication,Professional,Work city same as residence,Quezon City,"15,001 to 25,000",Full-time,Hybrid,Data Analyst,"Management, Admin Staff",6 to 10,  ,"Pandas, dbt, Spark",  ,N/A,Power BI,Don't know,Don't know,Don't know,None,Don't know,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet","DAX (Power BI), M language (Power Query)",NA,NA,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives","To have high engagement within the group, I think it would be good to have a weekly quizzes to know if they're absolutely learning and have monthly kamustahan & quick catch-up on what's going on within the data world.",Indeed,Local employer,26
College degree,"Quezon City, Philippines",Philippines,Male,"Freecodecamp, Khan Academy",Own Business/ Consultancy/Freelance,Learning About Data Engineering,Work city same as residence,Ortigas ,"15,001 to 25,000",Full-time,100% onsite,Data Analyst,Data Analyst,4 to 5,  ,  ,None,  , ,None,  ,_,none,PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, Google Meet, Discord","DAX (Power BI), Python, SQL, VBA","No, I do not use AI currently",.,laptop,"No, I just found out now.",N/A,"Analytics Association of the Philippines, Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Lead a study group, Volunteer for group initiatives", ,"Indeed, Kalibrr",Local employer,21
College degree,"Quezon City, Philippines",Philippines,Male,"Cisco, Coursera, Google Analytics",Energy,Career shifter,Work city same as residence,"Cavinti, Laguna","75,001 to 85,000",Part-time,Mostly work from home/ fully remote,Customer Support and Data Coordinator,"Data Engineer, Business Analyst",1 - Just me,  ,"Dataform, Pandas",N/A,NONE,"Tableau, Periscope, Mixpanel",None,.,na,NA,none,"Google sheets, Excel, Google Drive, MS Teams, Google Meet",Python,"Chatgpt, Copilot, Gemini, Julius",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.",_,"Analytics Association of the Philippines, Community: SPARTA PH, Data Science Philippines, Python Philippines","Career advancement, Upskill / Skill acquisition",Co-training/ Training,None,"LinkedIn, Upwork, OnlineJobs.ph, My network  - people I know",Local employer,NONE
College degree,"batangas, philippines",Philippines,LGBTQ+,"AWS Cloud Certification, Cisco, Codecademy, Coursera, Datacamp, edX, Freecodecamp, LinkedIn Learning, Udemy",Education,Professional,Work city different from residence,Pasay City,"45,001 to 55, 000",Full-time,Hybrid,Helpdesk,"Data Engineer, Business Analyst",1 - Just me,.,na, ,NA,Power BI, ,.,  ,NONE,.,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Slack",Python,"No, I do not use AI currently",.,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Design Philippines, AI Pilipinas, AI Society, AIM-Master of Science in Data Science, Analytics for Pinoys, Community: SPARTA PH, Data Science Manila, Data Science Philippines, Data Science World - R & Python Free Courses, Philippine Data Scientists Community - eScience, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups", ,Udemy,Multinational employer,30
College degree,"Lipa City, Philippines",Zimbabwe,Male,Not currently using any digital tools for learning,consulting,Currently employed in a a non-data-specific role but primarily assigned in data-related tasks,Work city different from residence,BGC,"35,001 to 45,000",Contract fixed timeline,Unemployed as of the moment,Accounting Staff,"Developer, Production Support",2 to 3,Talend,"Pandas, dbt, Spark",PostgreSQL,"Airflow, Daasity","Tableau, Amazon Quicksight",Don't know,Don't know,"Don't know, None",IBM Cloud,"Don't know, None","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","SQL, using Excel most of the time","No, I do not use AI currently","Colab Notebooks, Databricks Collaborative Notebooks",DESKTOP AND LAPTOP,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, Programmers,Developers","Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","For now, we should consolidate leadership roles in the group so that we may be able to communicate effectively with key members about decisions. Centralizing the power of the group can help in a variety of ways, essentially turning into a democracy, since we are a data analytics group, we can perform forms like this to garner public opinion about important decisions and partnerships which the key figures in the group can use to pin point the most agreeable decision to make based on majority voting though we should restrict this kind of voting to notable members of the group who actively contributes and cares about the community as a whole. Maintaining open communication is the main part of this important implementation meaning that every decision passed should be announced, we should run it like a Monitory Democracy which is ""Â??one person, many interests, many voices, multiple votes, multiple representatives."" A change driven by its members thus fulfilling the goal of the community.","LinkedIn, Indeed, OnlineJobs.ph",International Client,30
Master's degree,Laguna Philippines,Philippines,Female,"Datacamp, Freecodecamp, Google Analytics, LinkedIn Learning, SoloLearn","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"125,001 to 250,000",Full-time,Hybrid,consulting,"Management, Data Analyst",2 to 3, ,Alteryx,none,.,Qlikview,.,None,none,NONE,  ,"Google sheets, Excel, Dropbox, Google Drive, Zoom, MS Teams, Google Meet","Python, R, SQL, VBA","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks, Google Cloud Vertex AI Workbench",desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Science Manila, Data Science Philippines, Datasense Philippines, FTW Foundation, Power BI Philippines UG, PyData Philippines",  ,NA,Mentorship program ,"LinkedIn, Indeed",Multinational employer,  
College degree,"Quezon City, Philippines",Philippines,Prefer not to say,"Coursera, LinkedIn Learning, Udemy","IT, BPO, and Business Services",Professional,Work city different from residence,Mandaluyong,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Analyst,30+,"Don't know, Not needed in my current role","Pandas, PowerQuery ","Don't know, We have a dedicated global team","None, Not needed in my current role","Metabase, Power BI, Tableau","None, Not applicable ",.,"None, Not applicable","None, not applicable","None, not applicable","Google sheets, Google Drive, Google Meet","PowerApps, PowerAutomate, Excel","Databricks assistant, Company Chat AI","Colab Notebooks, NotebookLM",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",  ,Upskill / Skill acquisition,"Answer surveys, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training","None so far, just to continue this kind of community. I'm very happy to be part of this group.",LinkedIn,Multinational employer,27
College degree,Iligan City,Philippines,Male,"Coursera, Datacamp, Freecodecamp, Udemy",Own Business/ Consultancy/Freelance,Career shifter,Work city same as residence,"Pampanga, PH","15,000 and below",Freelance,Mostly work from home/ fully remote,none,"Management, Data Scientist",1 - Just me,Don't know,Don't know,Don't know,Don't know,"Power BI, Tableau",Don't know,Don't know,Don't know,none,Don't know,"Google sheets, Google Drive, Google Meet, Slack",SAP,.,Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Community: SPARTA PH, Data Science World - R & Python Free Courses, Power BI Philippines UG, Project SPARTA",Network,"Answer surveys, Regularly post content",none,"LinkedIn, OnlineJobs.ph",Multinational employer,38
College degree,"Taguig, Philippines",Philippines,LGBTQ+,Datacamp,Not working,Student/ New grad/ Career Break,N/A,  ,,NA,na, ,none, ,N/A,None,Oracle,.,NONE, ,NA,None,Sharepoint,NONE,"Google Drive, Google Meet, Discord","Python, SQL",Chatgpt,N/A,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power Apps Pilipinas Community, Power BI Philippines UG",Continued learning,Answer surveys,none,_,Unemployed,22
College degree,SAN JOSE CITY,Philippines,Male,"Datacamp, MicrosoftLearn, Udemy, Youtube bootcamp",Freelancing,Student/ New grad/ Career Break, ,None,,  ,  , ,_, ,None, ,NONE,None, , ,NA,  ,N/A, ,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), Javascript, Python, SQL",None,Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",na,Upskill / Skill acquisition,"Answer surveys, Co-training/ Training",_,  ,Local employer,26
College degree,"Makati, Philippines",Philippines,Male,W3Schools,"IT, BPO, and Business Services",Professional,Work city different from residence,Quezon City,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Software Engineer, Analytics Engineer, Machine Learning Engineer, AI Engineer",11 to 30,  ,Microsoft Power Apps, ,none,NONE,None, ,NA,N/A,N/A,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","No, I do not use AI currently",_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Analytics for Pinoys, AWS AI/ML, Data Analytics Philippines, Datasense Philippines, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Power BI Philippines UG, Power BI Users Meetup, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,More invites,Indeed,Multinational employer,33
College degree,"Quezon City, Philippines",Philippines,Male,LinkedIn Learning,Technology and Real Estate,Career shifter,Work city different from residence,Taguig City,"100,001 to 125,000",Full-time,Hybrid,Compliance Analyst,"Data Analyst, Analytics Engineer, Developer",4 to 5,NA, ,None, ,"Power BI, R",None,N/A,  ,_,none,"Google sheets, Excel, Google Drive","Appscript (Google), DAX (Power BI), M language (Power Query), SQL, VBA",Claude,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",none,Upskill / Skill acquisition,"Answer surveys, Volunteer for group initiatives","Challenge, dashboard making ","LinkedIn, My network  - people I know",Multinational employer,37
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, W3Schools",Healthcare,Career shifter,Work city different from residence,BGC,"125,001 to 250,000",Full-time,Hybrid,Business Analyst,"Management, Data Engineer, Data Analyst",4 to 5, ,  ,na,None,"Looker, Power BI, Tableau", , ,.,Microsoft Azure,"MongoDB, PostgreSQL, Oracle Database","Google sheets, Excel, Google Drive, MS Teams, Slack, Discord","Python, SQL",Gemini,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG, Python Philippines",Career advancement,"Answer surveys, Volunteer for group initiatives",NONE,LinkedIn,Local employer,32
College degree,Bicol,Philippines,Male,"Coursera, Datacamp, Freecodecamp","IT, BPO, and Business Services",Professional,Work city same as residence,Baguio City,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Management,Business Analyst,6 to 10,NA,Pandas,.,.,NA,  , ,none,.,PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, Google Meet",N/A,"No, I do not use AI currently",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.",.,  ,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives, Volunteer to speak in events",None,"LinkedIn, Indeed",Multinational employer,21
Master's degree,"Tagbilaran City, Philippines ",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city same as residence,Tagum City,"125,001 to 250,000",Full-time,Hybrid,Analytics Engineer,Data Engineer,11 to 30,Fivetran,dbt,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,None,Microsoft SQL Server,"Google sheets, Excel, Google Drive","Python, SQL",Chatgpt,N/A,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Big Data Analytics PH, Data Analytics Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Joint initiative with other groups,  ,"LinkedIn, Indeed",Multinational employer,NONE
College degree,"Manila, Philippines",Philippines,Male,"Coursera, Khan Academy, Udemy",Not working,Student/ New grad/ Career Break,na,None,,na,none,_,  ,None,N/A,N/A,NA, ,_,  , ,None,NONE,N/A,Excel,"Python, SQL","Chatgpt, Claude, Copilot",Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Big Data Analytics PH,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Volunteer for group initiatives",.,  ,na,NA
College degree,"Quezon City, Philippines",Philippines,Male,"AWS Cloud Certification, Coursera, Datacamp, LinkedIn Learning",Not working,Student/ New grad/ Career Break,na,None,,.,none,_,NA,none,  ,None,_,N/A,na, ,na,none,None,  ,"Google sheets, Excel, Google Drive, Google Meet, Notion",M language (Power Query),na,Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",  ,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Resource for specific topic", ,NONE,na,21
College degree,"Dipolog City, Philippines",Philippines,Male,"Coursera, Datacamp, Zoomcamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,QC ,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Developer,"Management, Data Analyst, Academic",4 to 5,NONE,NA,None,_,Looker,  , ,.,N/A,Oracle Database,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Discord","Javascript, Python, SQL",Chatgpt,"Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, Data Analytics Philippines, Data Science Manila, Data Science Philippines Discussion Group (Moderated)","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Joint initiative with other groups,none at the moment,"Indeed, Jobstreet ",Multinational employer,42
Secondary school student,"Sorsogon, Philippines",Philippines,Female,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,.,NONE,,N/A,  ,none,NA,_,NA,.,na,NA,N/A,_,_,NA,_,na,"MS Teams, Discord","Python, R, SQL",Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics for Pinoys, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, FTW Foundation, Project SPARTA, SPARTA PH: Data Engineer",Continued learning,"Answer surveys, Lead a study group, Mentor",_,_,.,24
College degree,Laguna. Philippines,Philippines,Male,"Coursera, Google Analytics, LinkedIn Learning, Udemy",Not working,Student/ New grad/ Career Break,NONE,N/A,,  ,na,N/A,  ,None,na,_,NA,NONE,_,None,na,na,  ,.,"Excel, Google Drive, OneDrive, Zoom, MS Teams","Appscript (Google), Python, SQL","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Co-training/ Training",NA,NONE,None,na
College degree,"Alexandria, Egypt",Egypt,Male,Not currently using any digital tools for learning,Healthcare,Freelance,Work city same as residence,Mabalacat City,"15,000 and below",Freelance,Hybrid,Analytics Engineer,Data Analyst,30+,., ,NA,NA,Tableau,N/A,  ,_,NONE,MS SQL Server,"Google sheets, Excel, Google Drive, Zoom, Google Meet","DAX (Power BI), Javascript, M language (Power Query), Python, R, SQL",Chatgpt,No,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives", ,"My network  - people I know, Facebook",Local employer,29
College degree,"Taguig, Philippines",Philippines,LGBTQ+,"LinkedIn Learning, W3Schools, Youtube bootcamp",,Career shifter,Work city same as residence,Aleosan ,"15,001 to 25,000",Freelance,Mostly work from home/ fully remote,Data Engineer,Developer,1 - Just me,Talend,"Pandas, R, postgresql","AWS Redshift, Big Query, Snowflake","Airflow, AWS Step Function","Power BI, Tableau",Don't know,NA,None,Amazon Web Services (AWS),none,"Google sheets, Excel, OneDrive, MS Teams, Slack","Javascript, Python, SQL, VBA",Chatgpt,Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Regularly post content",None,My network  - people I know,Unemployed,22
Master's degree,"Batangas, Philippines",Philippines,Male,Datacamp,Banking / Finance / Insurance,Career shifter,Work city same as residence,taguig,"125,001 to 250,000",Full-time,Hybrid,Cybersecurity,"Data Analyst, Software Engineer, Developer",6 to 10, ,none,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,Don't know,  ,"Google sheets, Excel, Slack","DAX (Power BI), SQL",Chatgpt,NO,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Project SPARTA","Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",None as of the moment,My network  - people I know,Local employer,33
Master's degree,"Dipolog City, Philippines",Philippines,Male,"LeetCode, Udemy",Manufacturing,Career shifter,Work city same as residence,Newcastle Upon Tyne UK,"45,001 to 55, 000",Full-time,Hybrid,Data Engineer,Operational Excellence ,1 - Just me,  ,NONE,N/A,None,ms sql,None,na,NA,na,_,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Discord",Python,Chatgpt,N/A,laptop,"No, I just found out now.","No, I just browsed through.",NA,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",Survey,LinkedIn,Local employer,44
College degree,"Taguig, Philippines",Philippines,Female,"Coursera, Datacamp",Not working,Freelance,Work city same as residence,Davao City,"35,001 to 45,000",Freelance,Mostly work from home/ fully remote,Data Analyst,Management,1 - Just me,Don't know,Don't know,Don't know,Don't know,"Looker, Power BI",Don't know,Don't know,Don't know,"Microsoft Azure, Sharepoint",Don't know,"Google sheets, Excel, Dropbox, Google Drive, Google Meet","Python, SQL",Chatgpt,None,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Project SPARTA, UP NEC","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",Continue creating training ,My network  - people I know,NA,30
College degree,"Taguig, Philippines",Philippines,Male,"Coursera, Datacamp",Healthcare,Career shifter,Work city different from residence,Bgc taguig,"25,001 to 35,000",Full-time,100% onsite,Data Engineer,Data Analyst,30+,_, ,NONE,NONE,Looker,_,None,NONE,none,Don't know,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL","No, I do not use AI currently","Colab Notebooks, Google Cloud Vertex AI Workbench",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",N/A,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Volunteer to speak in events,Hold quarterly or annual data/tech webinar fest,Facebook,Local employer,22
College degree,Muntinlupa,Philippines,Male,"Coursera, Datacamp, Git Hub Learning Lab, LeetCode, Udemy, W3Schools",Own Business/ Consultancy/Freelance,Professional,Work city different from residence,Makati City,"45,001 to 55, 000",Full-time,Hybrid,Developer,"Data Engineer, Data Scientist, Business Analyst, Analytics Engineer",4 to 5,NA,None,NONE, ,Power BI,.,N/A,N/A,Microsoft Azure,NONE,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Trello, Zoom, MS Teams, Google Meet, Slack, Discord",Excel only in work. Python and SQL is for study.,"Chatgpt, Gemini",Colab Notebooks,laptop,"No, I just found out now.",NONE,NONE,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",.,LinkedIn,Local employer,25
College degree,"Paranaque, Philippines",Philippines,Male,"AWS Cloud Certification, Datacamp, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Quezon City,"15,001 to 25,000",Full-time,100% onsite,Facility Operations,Developer,6 to 10,  ,none,_,  ,"Power BI, ",None,none,.,none,PostgreSQL,Excel,"DAX (Power BI), M language (Power Query)","No, I do not use AI currently",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Datasense Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Volunteer for group initiatives",na,"LinkedIn, My network  - people I know",Multinational employer,27
College degree,"Makati, Philippines",Philippines,Male,"Coursera, Datacamp, Git Hub Learning Lab, LeetCode, Udemy, W3Schools",Retail,Career shifter,Work city different from residence,Makati,"15,000 and below",Full-time,Hybrid,Production Support and Developer,Unemployed,2 to 3,Don't know,Don't know,N/A,NONE,na,None,N/A,NA,_,"Apache Hadoop, Apache Spark","Google sheets, Excel, MS Teams","Javascript, SQL, Typescript (Power Apps)","Chatgpt, Claude, Gemini, Jasper AI",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.", ,"Decision to shift, Upskill / Skill acquisition",Answer surveys,None so far,LinkedIn,Local employer,29
College degree,"Davao City, Philippines",Philippines,Female,Udemy,Not working,Student/ New grad/ Career Break,na,NA,,NA,NONE,NONE, ,None,NA,None,NA,None,.,none,none,NA,.,none,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Discord",Python,Chatgpt,_,laptop,"No, I just found out now.","No, I just browsed through.","Artificial Intelligence Philippines, DEVCON Community Group, DEVCON Philippines, PyData Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",no, ,none,19
College degree,General Santos City,Philippines,Male,"AWS Cloud Certification, Cisco, Coursera, LinkedIn Learning, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Baguio City,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Planning Engineer,1 - Just me,"Azure Data Factory, Synapse Analytics","Dataform, Spark","Azure Synapse, Databricks",Azure Data Factory,"Looker, Power BI",., ,Unity Catalog,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure",.,"Google sheets, Excel, Google Drive","Javascript, Python, SQL","Chatgpt, Github copilot",na,desktop,"No, I just found out now.","No, I just browsed through.",na,"Career advancement, Continued learning, Upskill / Skill acquisition","Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events","Looks like everyone are mostly in FB anyway, I guess we just continue to proactively engage the community via the FB group for now. ","LinkedIn, Monster",Multinational employer,33
College degree,"Pasig, Philippines",Philippines,Female,"Datacamp, LinkedIn Learning","IT, BPO, and Business Services",Professional,Work city different from residence,Makati,"15,000 and below",Full-time,Mostly work from home/ fully remote,Management,Data Analyst,11 to 30,N/A,.,  ,None,Power BI,.,none,none,Microsoft Azure,.,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Trello, Google Meet, Slack","Python, SQL, Excel (data cleaning and visualization), tableau",Chatgpt,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, FTW Foundation, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives","Encourage active and regular participation in FB and Discord, have initiatives to welcome people into the conversations.",LinkedIn,Multinational employer,25
